11,"defoe-robinson-103.txt	3.0",0.903089987
partner,"defoe-robinson-103.txt	11.0",3.311329952
preserved,"defoe-robinson-103.txt	11.0",3.311329952
robin,"defoe-robinson-103.txt	11.0",3.311329952
sallee,"defoe-robinson-103.txt	11.0",3.311329952
seldom,"defoe-robinson-103.txt	11.0",3.311329952
smooth,"defoe-robinson-103.txt	11.0",3.311329952
swim,"defoe-robinson-103.txt	11.0",3.311329952
tied,"defoe-robinson-103.txt	11.0",3.311329952
2,"defoe-robinson-103.txt	10.0",3.010299957
agreeable,"defoe-robinson-103.txt	10.0",3.010299957
america,"defoe-robinson-103.txt	10.0",3.010299957
concern,"defoe-robinson-103.txt	10.0",3.010299957
dismal,"defoe-robinson-103.txt	10.0",3.010299957
due,"defoe-robinson-103.txt	10.0",3.010299957
formerly,"defoe-robinson-103.txt	10.0",3.010299957
hallooed,"defoe-robinson-103.txt	10.0",3.010299957
jars,"defoe-robinson-103.txt	10.0",3.010299957
mainland,"defoe-robinson-103.txt	10.0",3.010299957
pocket,"defoe-robinson-103.txt	10.0",3.010299957
resolution,"defoe-robinson-103.txt	10.0",3.010299957
thee,"defoe-robinson-103.txt	10.0",3.010299957
turtle,"defoe-robinson-103.txt	10.0",3.010299957
works,"defoe-robinson-103.txt	10.0",3.010299957
absolutely,"defoe-robinson-103.txt	9.0",2.709269961
agreed,"defoe-robinson-103.txt	9.0",2.709269961
barrel,"defoe-robinson-103.txt	9.0",2.709269961
carpenter,"defoe-robinson-103.txt	9.0",2.709269961
composed,"defoe-robinson-103.txt	9.0",2.709269961
conscience,"defoe-robinson-103.txt	9.0",2.709269961
consequently,"defoe-robinson-103.txt	9.0",2.709269961
courage,"defoe-robinson-103.txt	9.0",2.709269961
currents,"defoe-robinson-103.txt	9.0",2.709269961
despair,"defoe-robinson-103.txt	9.0",2.709269961
employment,"defoe-robinson-103.txt	9.0",2.709269961
estate,"defoe-robinson-103.txt	9.0",2.709269961
etc,"defoe-robinson-103.txt	9.0",2.709269961
fancied,"defoe-robinson-103.txt	9.0",2.709269961
heap,"defoe-robinson-103.txt	9.0",2.709269961
jesus,"defoe-robinson-103.txt	9.0",2.709269961
linen,"defoe-robinson-103.txt	9.0",2.709269961
loud,"defoe-robinson-103.txt	9.0",2.709269961
merchant,"defoe-robinson-103.txt	9.0",2.709269961
