advance,callwild	1.2386586E-4,0.0
advance,defoe-robinson-103.txt	1.0,0.0
advanced,defoe-robinson-103.txt	3.0,0.0
advanced,callwild	6.193293E-5,0.0
advancement,defoe-robinson-103.txt	1.0,0.3010299956639812
advantages,defoe-robinson-103.txt	1.0,0.3010299956639812
advent,callwild	3.0966465E-5,9.321834731970088E-6
adventure,defoe-robinson-103.txt	6.0,0.0
adventure,callwild	3.0966465E-5,0.0
adventurer,defoe-robinson-103.txt	1.0,0.3010299956639812
advertising,callwild	3.0966465E-5,9.321834731970088E-6
advice,callwild	1.5483232E-4,0.0
advice,defoe-robinson-103.txt	13.0,0.0
advise,defoe-robinson-103.txt	2.0,0.6020599913279624
advised,defoe-robinson-103.txt	2.0,0.6020599913279624
adze,defoe-robinson-103.txt	2.0,0.6020599913279624
afer,defoe-robinson-103.txt	1.0,0.3010299956639812
affairs,defoe-robinson-103.txt	8.0,2.4082399653118496
affected,defoe-robinson-103.txt	3.0,0.0
affected,callwild	3.0966465E-5,0.0
affectionately,defoe-robinson-103.txt	2.0,0.6020599913279624
affections,defoe-robinson-103.txt	6.0,1.806179973983887
affects,defoe-robinson-103.txt	1.0,0.3010299956639812
affidavit,defoe-robinson-103.txt	1.0,0.3010299956639812
affirmative,callwild	3.0966465E-5,9.321834731970088E-6
affirmed,callwild	6.193293E-5,1.8643669463940177E-5
afflicted,defoe-robinson-103.txt	1.0,0.3010299956639812
afflictions,defoe-robinson-103.txt	2.0,0.6020599913279624
afford,callwild	3.0966465E-5,0.0
afford,defoe-robinson-103.txt	1.0,0.0
affording,defoe-robinson-103.txt	1.0,0.3010299956639812
affrighted,defoe-robinson-103.txt	1.0,0.3010299956639812
affront,defoe-robinson-103.txt	2.0,0.6020599913279624
afinishing,defoe-robinson-103.txt	1.0,0.3010299956639812
africa,defoe-robinson-103.txt	12.0,3.612359947967774
african,defoe-robinson-103.txt	3.0,0.9030899869919435
after,callwild	0.0010218933,0.0
after,defoe-robinson-103.txt	238.0,0.0
afterlife,callwild	3.0966465E-5,9.321834731970088E-6
afternoon,callwild	9.289939E-5,0.0
afternoon,defoe-robinson-103.txt	6.0,0.0
afterward,callwild	6.193293E-5,0.0
afterward,defoe-robinson-103.txt	5.0,0.0
again,callwild	0.0017031555,0.0
again,defoe-robinson-103.txt	212.0,0.0
ages,defoe-robinson-103.txt	2.0,0.0
ages,callwild	6.193293E-5,0.0
aglow,callwild	3.0966465E-5,9.321834731970088E-6
agonies,defoe-robinson-103.txt	1.0,0.3010299956639812
agony,callwild	1.2386586E-4,0.0
agony,defoe-robinson-103.txt	1.0,0.0
agree,defoe-robinson-103.txt	1.0,0.3010299956639812
agreeable,defoe-robinson-103.txt	10.0,3.010299956639812
agreeably,defoe-robinson-103.txt	1.0,0.3010299956639812
agreed,defoe-robinson-103.txt	9.0,2.709269960975831
agreeing,defoe-robinson-103.txt	1.0,0.3010299956639812
agreement,defoe-robinson-103.txt	1.0,0.3010299956639812
aground,defoe-robinson-103.txt	6.0,1.806179973983887
ague,defoe-robinson-103.txt	5.0,1.505149978319906
aid,callwild	6.193293E-5,1.8643669463940177E-5
